,project_group_id,project_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,sumbission_rate_mins,sumbission_rate_mins_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,sumbission_rate_mins_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
1,1032,Res EM,1,1,12,12,2599.0,768.0,405.4749292504173,50.31666302686176,97.1279069767442,99.77111111111113,0.02965624663751947,0.0021943316516959926,99.5954761904762,99.95185185185187,2.5365116279069766,0.018518518518518517,0.0,0.0,2.38,7.06,-0.03,12.51,-0.0,135.97,False
5,1032,Flagging,1,1,6,6,223.0,20461.0,1045.3125,222402.1739130435,83.33333333333334,98.319,0.08333333333333333,0.016260221868497703,100.0,99.968,0.16999999999999998,0.032,0.0,0.0,-0.99,-1.0,-0.15,4.12,0.0,4.31,False
6,1032,MS Potato,1,1,6,6,2890.0,2258.0,5055.39358600583,3848.863636363637,99.15833333333333,99.20666666666666,0.00838058919979544,0.007848825503009148,99.845,99.83166666666666,0.22166666666666668,0.3316666666666667,0.0,0.0,0.28,0.31,-0.0,0.07,0.0,-0.33,False
8,1032,Res refinement,1,1,6,6,5904.0,4193.0,7044.295302013423,5267.587939698492,99.76375,99.63000000000001,0.002343648419857235,0.0036794930528649544,99.925625,99.89999999999999,0.12937500000000002,0.5770000000000001,0.0,0.0,0.41,0.34,0.0,-0.36,0.0,-0.78,False
9,87,WRT1 - API PTs,1,1,17,21,7596.0,11912.0,5832.520325203251,8543.66146673839,90.95000000000002,92.51775000000002,0.03154978519535067,0.048880970799892356,,,0.022941176470588236,0.0315,0.0,-0.19,-0.36,-0.32,-0.02,-0.35,,-0.27,False
10,1345,Coco - Rework A,1,1,45,45,3317.0,1770.0,60.659930593835306,29.239995436264564,98.26985781990524,93.90460431654675,0.01371765598323182,0.060173158646338494,,,25.796872037914703,23.412877697841722,0.0,0.0,0.87,1.07,0.05,-0.77,,0.1,False
11,1272,DDT1 Production,1,1,1,1,1009.0,404.0,377.9026217228464,152.16572504708097,99.098,98.755,0.008930838661397203,0.012450980392156863,97.11,98.275,0.452,0.0,0.0,0.0,1.5,1.48,0.0,-0.28,-0.01,inf,False
12,1480,TOF5 - Delivery,1,1,12,7,13901.0,9780.0,6085.125010522771,3937.402597402598,86.42057692307692,70.48548387096774,0.05848666073096864,0.24732586872770784,,,0.07711538461538463,0.17806451612903226,0.0,0.71,0.42,0.55,0.23,-0.76,,-0.57,False
13,1208,WJD1 Production,1,1,4,4,509.0,309.0,23.914802537130328,14.306759828268373,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.65,0.67,0.0,,,,False
15,1476,DUT2 Training 2022,1,1,15,15,1670.0,660.0,85.55159300928025,23.00518134715026,88.06051282051283,78.43972972972973,0.11386212629901178,0.297294437193818,85.70242424242424,1.316,4.419358974358974,14.991081081081083,0.0,0.0,1.53,2.72,0.12,-0.62,64.12,-0.71,False
16,1344,JSU2 Training 2022,1,1,45,38,9818.0,1283.0,950.0760610718645,136.63810184267888,99.97213991769551,100.0,0.0002774118664202296,0.0,,,0.02267489711934156,0.0,0.0,0.18,6.65,5.95,-0.0,inf,,inf,False
17,706,JWF7-R6 Production,1,1,4,4,2554.0,2596.0,807.9587079587079,819.7355437142292,99.35842105263158,99.605625,0.00639739273001626,0.003915361580421402,97.66866666666668,98.58375,1.6705263157894739,0.574375,0.0,0.0,-0.02,-0.01,-0.0,0.63,-0.01,1.91,False
18,1208,WJD1 Production_QA,1,1,1,1,144.0,87.0,52.459016393442624,21.91435768261965,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.66,1.39,0.0,,,,False
20,959,WPO1- Product-Ads 6,1,1,6,6,4185.0,3696.0,2045.158371040724,1332.5237191650851,88.63074074074073,99.5236842105263,0.0025656944556465954,0.004721393003748602,99.79875000000001,99.61111111111111,0.8999999999999999,2.3431578947368426,0.0,0.0,0.13,0.53,-0.11,-0.46,0.0,-0.62,False
21,129,Seeding w Escalations 2,1,1,2,2,790.0,661.0,164.08610271903325,126.4937274080374,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,0.3,0.0,,,,False
22,1480,TOF5 - Training - clone,1,1,4,4,124.0,215.0,31.058234189104574,45.31085353003161,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.42,-0.31,0.0,,,,False
23,450,DBE1 Freespace RnF Pilot,1,1,61,64,1590.0,2024.0,23.63185928209525,32.61014275841307,89.55268421052632,94.4024210526316,0.024389804049820767,0.01886115624359314,96.0,98.02576923076923,2.146578947368422,0.4302631578947369,0.0,-0.05,-0.21,-0.28,-0.05,0.29,-0.02,3.99,False
24,1331,WRT19_Pilot - Production,1,1,11,11,992.0,1290.0,74.9596650668845,107.25994203449424,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.23,-0.3,0.0,,,,False
25,189,GAR 1 Logos w Escalations,1,1,49,21,21002.0,4742.0,8029.34157173199,2100.860988046477,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,1.33,3.43,2.82,0.0,,,,False
27,1349,PVQ1 Training_ Pedestrian,1,1,13,15,9146.0,7165.0,5607.532532532532,3155.4609512624775,99.95469387755102,99.80600000000003,0.0004537116279311951,0.001933048092677086,95.99499999999998,87.69720930232556,0.2091836734693878,0.814,0.0,-0.13,0.28,0.78,0.0,-0.77,0.09,-0.74,False
29,1032,QSB3 API Production Queue1,1,1,6,6,788.0,8780.0,1682.5622775800712,19367.64705882353,99.59166666666667,99.51047619047618,0.004036760244003705,0.004812467956228765,99.90666666666667,99.86714285714287,0.09333333333333334,0.3314285714285714,0.0,0.0,-0.91,-0.91,0.0,-0.16,0.0,-0.72,False
30,450,DBE1 Freespace RnF Pilot V2,1,1,62,10,1305.0,323.0,21.272663404957758,5.868708096879106,98.63943661971834,98.96166666666664,0.012896327477034225,0.010051467051467049,95.74589928057556,92.61333333333337,0.849788732394366,0.292,0.0,5.2,3.04,2.62,-0.0,0.28,0.03,1.91,False
